city,population,lat,lon,bundesland
Helmbrechts,8372,50.236773055,11.715915,Bayern
Stadtsteinach,3183,50.166666666,11.5,Bayern
Monheim,5544,48.842222222,10.856388888,Bayern
Röhrnbach,4358,48.738888888,13.523055555,Bayern
Schöllnach,4951,48.75,13.166666666,Bayern
Nandlstadt,5643,48.533333333,11.8,Bayern
Pförring,4114,48.80824,11.69012,Bayern
Windorf,5100,48.625,13.225,Bayern
Winzer,3832,48.722769444,13.076888888,Bayern
Perlesreut,2931,48.783333333,13.45,Bayern
Rennertshofen,4945,48.75,11.033333333,Bayern
Titting,2685,49.0,11.216666666,Bayern
Hutthurm,6412,48.671388888,13.471111111,Bayern
Metten,4290,48.866666666,12.916666666,Bayern
Hersbruck,12772,49.508055555,11.432777777,Bayern
Senden,23143,48.323611111,10.044166666,Bayern
Burgbernheim,3464,49.45,10.316666666,Bayern
Wertingen,9625,48.533333333,10.666666666,Bayern
Hirschau,5666,49.5445,11.9464,Bayern
Heideck,4688,49.132980555,11.125288888,Bayern
Pleystein,2351,49.65,12.416666666,Bayern
Klingenberg am Main,6310,49.783333333,9.183333333,Bayern
Wemding,5860,48.866666666,10.716666666,Bayern
Harburg (Schwaben),5652,48.786455556,10.691731835,Bayern
Teuschnitz,1921,50.395833333,11.380555555,Bayern
Mainburg,15517,48.65,11.783333333,Bayern
Marktsteft,1920,49.694669444,10.13875,Bayern
Creußen,5111,49.843888888,11.622777777,Bayern
Windsbach,6248,49.2489,10.8291,Bayern
Naila,7618,50.329861111,11.708288888,Bayern
Gersthofen,23492,48.416666666,10.866666666,Bayern
Pressath,4287,49.766666666,11.916666666,Bayern
Weismain,4803,50.084861111,11.239819444,Bayern
Wolframs-Eschenbach,3221,49.2264,10.72519,Bayern
Stadtbergen,15614,48.366666666,10.85,Bayern
Vohenstrauß,7637,49.616666666,12.333333333,Bayern
Iphofen,4843,49.7,10.266666666,Bayern
Wolfratshausen,19499,47.913333333,11.427777777,Bayern
Neusäß,23251,48.4,10.833333333,Bayern
Waldmünchen,6781,49.3785,12.7049,Bayern
Osterhofen,12237,48.7,13.016666666,Bayern
Lichtenberg,1026,50.383611111,11.675833333,Bayern
Stadtprozelten,1604,49.785277777,9.412222222,Bayern
Wassertrüdingen,6427,49.033333333,10.6,Bayern
Freystadt,9345,49.198888888,11.329166666,Bayern
Schwarzenbach an der Saale,6878,50.220833333,11.933333333,Bayern
Windischeschenbach,4984,49.803030555,12.154869444,Bayern
Goldkronach,3523,50.011388888,11.687222222,Bayern
Ichenhausen,9403,48.37119,10.30706,Bayern
Illertissen,18578,48.222777777,10.105277777,Bayern
Wallenfels,2566,50.2675,11.473333333,Bayern
Prichsenstadt,3229,49.8167,10.35,Bayern
Pappenheim,3951,48.934722222,10.974444444,Bayern
Leipheim,7661,48.448888888,10.220833333,Bayern
Waischenfeld,3104,49.85,11.35,Bayern
Q503693,6230,48.9667,11.6833,Bayern
Schauenstein,1899,50.275033333,11.741666666,Bayern
Schillingsfürst,2805,49.283305555,10.266694444,Bayern
Gunzenhausen,17237,49.114722222,10.754166666,Bayern
Rain am Lech,9472,48.683333333,10.916666666,Bayern
